ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Event,Medal
84745,Eduardo Nava Alcantara,M,23.0,180.0,70.0,Mexico,MEX,1992 Summer,1992,Barcelona,Athletics Men's 4 x 400 metres Relay,0
84747,Goran Nava,M,27.0,180.0,71.0,Serbia,SRB,2008 Summer,2008,Beijing,"Athletics Men's 1,500 metres",0
84748,Horacio Nava Reza,M,26.0,181.0,65.0,Mexico,MEX,2008 Summer,2008,Beijing,Athletics Men's 50 kilometres Walk,0
84748,Horacio Nava Reza,M,30.0,181.0,65.0,Mexico,MEX,2012 Summer,2012,London,Athletics Men's 50 kilometres Walk,0
84748,Horacio Nava Reza,M,34.0,181.0,65.0,Mexico,MEX,2016 Summer,2016,Rio de Janeiro,Athletics Men's 50 kilometres Walk,0
84752,Farhan Navab,M,16.0,177.0,67.0,Iran,IRI,1972 Summer,1972,Munich,Athletics Men's 100 metres,0
84771,Francisco Javier Navarro Snchez,M,29.0,188.0,80.0,Spain,ESP,1996 Summer,1996,Atlanta,Athletics Men's 200 metres,0
84771,Francisco Javier Navarro Snchez,M,29.0,188.0,80.0,Spain,ESP,1996 Summer,1996,Atlanta,Athletics Men's 4 x 100 metres Relay,0
84779,Miguel Navarro Palos,M,30.0,170.0,62.0,Spain,ESP,1960 Summer,1960,Roma,Athletics Men's Marathon,0
84788,Estela Navascus Parra,F,35.0,163.0,50.0,Spain,ESP,2016 Summer,2016,Rio de Janeiro,Athletics Women's Marathon,0
84790,Charles Naveko,M,22.0,180.0,64.0,Malawi,MAW,1988 Summer,1988,Seoul,"Athletics Men's 10,000 metres",0
84804,Rabangaki Nawai,M,23.0,178.0,83.0,Kiribati,KIR,2008 Summer,2008,Beijing,Athletics Men's 100 metres,0
84806,Muhammad Nawaz,M,32.0,179.0,88.0,Pakistan,PAK,1956 Summer,1956,Melbourne,Athletics Men's Javelin Throw,0
84806,Muhammad Nawaz,M,36.0,179.0,88.0,Pakistan,PAK,1960 Summer,1960,Roma,Athletics Men's Javelin Throw,0
84833,Lee Michelle Naylor,F,25.0,166.0,58.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics Women's 400 metres,0
84833,Lee Michelle Naylor,F,25.0,166.0,58.0,Australia,AUS,1996 Summer,1996,Atlanta,Athletics Women's 4 x 400 metres Relay,0
84833,Lee Michelle Naylor,F,29.0,166.0,58.0,Australia,AUS,2000 Summer,2000,Sydney,Athletics Women's 400 metres,0
84834,Mark Naylor,M,22.0,186.0,78.0,Great Britain,GBR,1980 Summer,1980,Moskva,Athletics Men's High Jump,0
84834,Mark Naylor,M,26.0,186.0,78.0,Great Britain,GBR,1984 Summer,1984,Los Angeles,Athletics Men's High Jump,0
84844,Franklin Andrs Nazareno Macas,M,21.0,179.0,85.0,Ecuador,ECU,2008 Summer,2008,Beijing,Athletics Men's 100 metres,0
84844,Franklin Andrs Nazareno Macas,M,21.0,179.0,85.0,Ecuador,ECU,2008 Summer,2008,Beijing,Athletics Men's 200 metres,0
84848,Naydi Nazario,F,27.0,174.0,61.0,Puerto Rico,PUR,1984 Summer,1984,Los Angeles,Athletics Women's Marathon,0
84849,Andrei Nazarov,M,27.0,190.0,80.0,Estonia,EST,1992 Summer,1992,Barcelona,Athletics Men's Decathlon,0
84849,Andrei Nazarov,M,31.0,190.0,80.0,Estonia,EST,1996 Summer,1996,Atlanta,Athletics Men's Decathlon,0
84850,Dilshod Nazarov,M,22.0,187.0,120.0,Tajikistan,TJK,2004 Summer,2004,Athina,Athletics Men's Hammer Throw,0
84850,Dilshod Nazarov,M,26.0,187.0,120.0,Tajikistan,TJK,2008 Summer,2008,Beijing,Athletics Men's Hammer Throw,0
84850,Dilshod Nazarov,M,30.0,187.0,120.0,Tajikistan,TJK,2012 Summer,2012,London,Athletics Men's Hammer Throw,0
84850,Dilshod Nazarov,M,34.0,187.0,120.0,Tajikistan,TJK,2016 Summer,2016,Rio de Janeiro,Athletics Men's Hammer Throw,Gold
84854,Anna Sergeyevna Nazarova (-Klyashtornaya),F,26.0,172.0,58.0,Russia,RUS,2012 Summer,2012,London,Athletics Women's Long Jump,0
84855,Irina Viktorovna Nazarova (Bagryantseva-),F,22.0,170.0,58.0,Soviet Union,URS,1980 Summer,1980,Moskva,Athletics Women's 400 metres,0
84855,Irina Viktorovna Nazarova (Bagryantseva-),F,22.0,170.0,58.0,Soviet Union,URS,1980 Summer,1980,Moskva,Athletics Women's 4 x 400 metres Relay,Gold
84856,Nataliya Viktorovna Nazarova,F,21.0,168.0,57.0,Russia,RUS,2000 Summer,2000,Sydney,Athletics Women's 400 metres,0
84856,Nataliya Viktorovna Nazarova,F,21.0,168.0,57.0,Russia,RUS,2000 Summer,2000,Sydney,Athletics Women's 4 x 400 metres Relay,Bronze
84856,Nataliya Viktorovna Nazarova,F,25.0,168.0,57.0,Russia,RUS,2004 Summer,2004,Athina,Athletics Women's 400 metres,0
84856,Nataliya Viktorovna Nazarova,F,25.0,168.0,57.0,Russia,RUS,2004 Summer,2004,Athina,Athletics Women's 4 x 400 metres Relay,Silver
84856,Nataliya Viktorovna Nazarova,F,33.0,168.0,57.0,Russia,RUS,2012 Summer,2012,London,Athletics Women's 4 x 400 metres Relay,Silver
84858,Olga Vladimirovna Nazarova,F,23.0,168.0,57.0,Soviet Union,URS,1988 Summer,1988,Seoul,Athletics Women's 400 metres,Bronze
84858,Olga Vladimirovna Nazarova,F,23.0,168.0,57.0,Soviet Union,URS,1988 Summer,1988,Seoul,Athletics Women's 4 x 400 metres Relay,Gold
84858,Olga Vladimirovna Nazarova,F,27.0,168.0,57.0,Unified Team,EUN,1992 Summer,1992,Barcelona,Athletics Women's 400 metres,0
84858,Olga Vladimirovna Nazarova,F,27.0,168.0,57.0,Unified Team,EUN,1992 Summer,1992,Barcelona,Athletics Women's 4 x 400 metres Relay,Gold
84859,Valentina Nazarova,F,23.0,160.0,52.0,Turkmenistan,TKM,2008 Summer,2008,Beijing,Athletics Women's 100 metres,0
84871,Beauty Nazum Nahar,F,24.0,157.0,56.0,Bangladesh,BAN,2008 Summer,2008,Beijing,Athletics Women's 100 metres,0
84879,Samuel Nchinda-Kaya,M,21.0,180.0,82.0,Cameroon,CMR,1988 Summer,1988,Seoul,Athletics Men's 100 metres,0
84879,Samuel Nchinda-Kaya,M,21.0,180.0,82.0,Cameroon,CMR,1988 Summer,1988,Seoul,Athletics Men's 200 metres,0
84879,Samuel Nchinda-Kaya,M,25.0,180.0,82.0,Cameroon,CMR,1992 Summer,1992,Barcelona,Athletics Men's 100 metres,0
84879,Samuel Nchinda-Kaya,M,25.0,180.0,82.0,Cameroon,CMR,1992 Summer,1992,Barcelona,Athletics Men's 200 metres,0
84881,Zephaniah Ncube,M,23.0,175.0,55.0,Zimbabwe,ZIM,1980 Summer,1980,Moskva,"Athletics Men's 5,000 metres",0
84881,Zephaniah Ncube,M,27.0,175.0,55.0,Zimbabwe,ZIM,1984 Summer,1984,Los Angeles,"Athletics Men's 5,000 metres",0
84881,Zephaniah Ncube,M,27.0,175.0,55.0,Zimbabwe,ZIM,1984 Summer,1984,Los Angeles,"Athletics Men's 10,000 metres",0
84882,Lucienne N'Da (-Bamba-Koffi),F,23.0,174.0,60.0,Cote d'Ivoire,CIV,1988 Summer,1988,Seoul,Athletics Women's High Jump,0
84882,Lucienne N'Da (-Bamba-Koffi),F,27.0,174.0,60.0,Cote d'Ivoire,CIV,1992 Summer,1992,Barcelona,Athletics Women's High Jump,0
84884,Momar N'Dao,M,23.0,177.0,75.0,Senegal,SEN,1972 Summer,1972,Munich,Athletics Men's 4 x 100 metres Relay,0
84884,Momar N'Dao,M,27.0,177.0,75.0,Senegal,SEN,1976 Summer,1976,Montreal,Athletics Men's 100 metres,0
84884,Momar N'Dao,M,27.0,177.0,75.0,Senegal,SEN,1976 Summer,1976,Montreal,Athletics Men's 4 x 100 metres Relay,0
84884,Momar N'Dao,M,31.0,177.0,75.0,Senegal,SEN,1980 Summer,1980,Moskva,Athletics Men's 100 metres,0
84884,Momar N'Dao,M,31.0,177.0,75.0,Senegal,SEN,1980 Summer,1980,Moskva,Athletics Men's 4 x 100 metres Relay,0
84885,Abdoulaye N'Diaye,M,23.0,163.0,63.0,Senegal,SEN,1964 Summer,1964,Tokyo,Athletics Men's 100 metres,0
84889,"Amadou ""Doudou"" N'Diaye",M,29.0,173.0,70.0,Senegal,SEN,1980 Summer,1980,Moskva,Athletics Men's Long Jump,0
84891,Hachim N'Diaye,M,32.0,189.0,82.0,Senegal,SEN,1996 Summer,1996,Atlanta,Athletics Men's 4 x 400 metres Relay,0
84893,Mamadou N'Diaye,M,25.0,182.0,66.0,Senegal,SEN,1964 Summer,1964,Tokyo,Athletics Men's 4 x 400 metres Relay,0
84895,Papa M'Baye N'Diaye,M,26.0,182.0,67.0,Senegal,SEN,1964 Summer,1964,Tokyo,Athletics Men's 4 x 400 metres Relay,0
84895,Papa M'Baye N'Diaye,M,30.0,182.0,67.0,Senegal,SEN,1968 Summer,1968,Mexico City,Athletics Men's 800 metres,0
84895,Papa M'Baye N'Diaye,M,30.0,182.0,67.0,Senegal,SEN,1968 Summer,1968,Mexico City,Athletics Men's 4 x 400 metres Relay,0
84907,Amie N'Dow,F,26.0,158.0,53.0,Gambia,GAM,1984 Summer,1984,Los Angeles,Athletics Women's 200 metres,0
84907,Amie N'Dow,F,26.0,158.0,53.0,Gambia,GAM,1984 Summer,1984,Los Angeles,Athletics Women's 4 x 100 metres Relay,0
84909,Kne N'Doye,F,21.0,164.0,58.0,Senegal,SEN,2000 Summer,2000,Sydney,Athletics Women's Triple Jump,0
84909,Kne N'Doye,F,25.0,164.0,58.0,Senegal,SEN,2004 Summer,2004,Athina,Athletics Women's Long Jump,0
84909,Kne N'Doye,F,25.0,164.0,58.0,Senegal,SEN,2004 Summer,2004,Athina,Athletics Women's Triple Jump,0
84911,Kouami N'Dri,M,25.0,178.0,68.0,Cote d'Ivoire,CIV,1968 Summer,1968,Mexico City,Athletics Men's 4 x 100 metres Relay,0
84911,Kouami N'Dri,M,29.0,178.0,68.0,Cote d'Ivoire,CIV,1972 Summer,1972,Munich,Athletics Men's 4 x 100 metres Relay,0
84912,Eric N'Dri Pacome,M,18.0,185.0,83.0,Cote d'Ivoire,CIV,1996 Summer,1996,Atlanta,Athletics Men's 4 x 100 metres Relay,0
84912,Eric N'Dri Pacome,M,22.0,185.0,83.0,Cote d'Ivoire,CIV,2000 Summer,2000,Sydney,Athletics Men's 4 x 100 metres Relay,0
84912,Eric N'Dri Pacome,M,26.0,185.0,83.0,Cote d'Ivoire,CIV,2004 Summer,2004,Athina,Athletics Men's 100 metres,0
84913,Clstine N'Drin,F,12.0,169.0,56.0,Cote d'Ivoire,CIV,1976 Summer,1976,Montreal,Athletics Women's 400 metres,0
84913,Clstine N'Drin,F,12.0,169.0,56.0,Cote d'Ivoire,CIV,1976 Summer,1976,Montreal,Athletics Women's 800 metres,0
84913,Clstine N'Drin,F,21.0,169.0,56.0,Cote d'Ivoire,CIV,1984 Summer,1984,Los Angeles,Athletics Women's 800 metres,0
84913,Clstine N'Drin,F,25.0,169.0,56.0,Cote d'Ivoire,CIV,1988 Summer,1988,Seoul,Athletics Women's 400 metres,0
84914,Eulucane Ndagijimana,M,27.0,172.0,68.0,Rwanda,RWA,1988 Summer,1988,Seoul,Athletics Men's 800 metres,0
