ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Event,Medal
83767,Kaleka Mutoke,M,22.0,176.0,65.0,Congo (Kinshasa),COD,1988 Summer,1988,Seoul,Athletics Men's Marathon,0
83767,Kaleka Mutoke,M,26.0,176.0,65.0,Congo (Kinshasa),COD,1992 Summer,1992,Barcelona,"Athletics Men's 1,500 metres",0
83767,Kaleka Mutoke,M,26.0,176.0,65.0,Congo (Kinshasa),COD,1992 Summer,1992,Barcelona,Athletics Men's 4 x 400 metres Relay,0
83767,Kaleka Mutoke,M,30.0,176.0,65.0,Congo (Kinshasa),COD,1996 Summer,1996,Atlanta,Athletics Men's Marathon,0
83769,Maria de Lurdes Mutola,F,15.0,165.0,63.0,Mozambique,MOZ,1988 Summer,1988,Seoul,Athletics Women's 800 metres,0
83769,Maria de Lurdes Mutola,F,19.0,165.0,63.0,Mozambique,MOZ,1992 Summer,1992,Barcelona,Athletics Women's 800 metres,0
83769,Maria de Lurdes Mutola,F,19.0,165.0,63.0,Mozambique,MOZ,1992 Summer,1992,Barcelona,"Athletics Women's 1,500 metres",0
83769,Maria de Lurdes Mutola,F,23.0,165.0,63.0,Mozambique,MOZ,1996 Summer,1996,Atlanta,Athletics Women's 800 metres,Bronze
83769,Maria de Lurdes Mutola,F,27.0,165.0,63.0,Mozambique,MOZ,2000 Summer,2000,Sydney,Athletics Women's 800 metres,Gold
83769,Maria de Lurdes Mutola,F,31.0,165.0,63.0,Mozambique,MOZ,2004 Summer,2004,Athina,Athletics Women's 800 metres,0
83769,Maria de Lurdes Mutola,F,35.0,165.0,63.0,Mozambique,MOZ,2008 Summer,2008,Beijing,Athletics Women's 800 metres,0
83773,Joseph Mwengi Mutua,M,21.0,170.0,58.0,Kenya,KEN,2000 Summer,2000,Sydney,Athletics Men's 800 metres,0
83773,Joseph Mwengi Mutua,M,21.0,170.0,58.0,Kenya,KEN,2000 Summer,2000,Sydney,Athletics Men's 4 x 400 metres Relay,0
83773,Joseph Mwengi Mutua,M,25.0,170.0,58.0,Kenya,KEN,2004 Summer,2004,Athina,Athletics Men's 800 metres,0
83775,Boniface William Mutwol,M,24.0,160.0,55.0,Kenya,KEN,1992 Summer,1992,Barcelona,"Athletics Men's 3,000 metres Steeplechase",Bronze
83779,Fabian Kabwe Muyaba,M,17.0,178.0,68.0,Zimbabwe,ZIM,1988 Summer,1988,Seoul,Athletics Men's 100 metres,0
83779,Fabian Kabwe Muyaba,M,17.0,178.0,68.0,Zimbabwe,ZIM,1988 Summer,1988,Seoul,Athletics Men's 200 metres,0
